cwe_id,name,weakness_abstraction,status,description,extended_description,background_details,comments
CWE-17,DEPRECATED: Code,NULL,Deprecated,"This entry has been deprecated.  It was originally used for organizing the Development View (CWE-699) and some other views, but it introduced unnecessary complexity and depth to the resulting tree.",NULL,NULL,NULL
CWE-170,Improper Null Termination,Base,Incomplete,The software does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.,"Null termination errors frequently occur in two different ways. An off-by-one error could cause a null to be written out of bounds, leading to an overflow. Or, a program could use a strncpy() function call incorrectly, which prevents a null terminator from being added at all. Other scenarios are possible.",NULL,NULL
CWE-171,"Cleansing, Canonicalization, and Comparison Errors",NULL,Draft,Weaknesses in this category are related to improper handling of data within protection mechanisms that attempt to perform neutralization for untrusted data.,NULL,NULL,NULL
CWE-172,Encoding Error,Class,Draft,"The software does not properly encode or decode the data, resulting in unexpected values.",NULL,NULL,NULL
CWE-173,Improper Handling of Alternate Encoding,Variant,Draft,The software does not properly handle when an input uses an alternate encoding that is valid for the control sphere to which the input is being sent.,NULL,NULL,NULL
CWE-174,Double Decoding of the Same Data,Variant,Draft,"The software decodes the same input twice, which can limit the effectiveness of any protection mechanism that occurs in between the decoding operations.",NULL,NULL,NULL
CWE-175,Improper Handling of Mixed Encoding,Variant,Draft,The software does not properly handle when the same input uses several different (mixed) encodings.,NULL,NULL,NULL
CWE-176,Improper Handling of Unicode Encoding,Variant,Draft,The software does not properly handle when an input contains Unicode encoding.,NULL,NULL,NULL
CWE-177,Improper Handling of URL Encoding (Hex Encoding),Variant,Draft,The software does not properly handle when all or part of an input has been URL encoded.,NULL,NULL,NULL
CWE-178,Improper Handling of Case Sensitivity,Base,Incomplete,"The software does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results.","Improperly handled case sensitive data can lead to several possible consequences, including:
            
               
                  case-insensitive passwords reducing the size of the key space, making brute force attacks easier
                  bypassing filters or access controls using alternate names
                  multiple interpretation errors using alternate names.",NULL,NULL
CWE-179,Incorrect Behavior Order: Early Validation,Base,Incomplete,"The software validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification.","Software needs to validate data at the proper time, after data has been canonicalized and cleansed. Early validation is susceptible to various manipulations that result in dangerous inputs that are produced by canonicalization and cleansing.",NULL,NULL
CWE-18,DEPRECATED: Source Code,NULL,Deprecated,"This entry has been deprecated.  It was originally used for organizing the Development View (CWE-699) and some other views, but it introduced unnecessary complexity and depth to the resulting tree.",NULL,NULL,NULL
CWE-180,Incorrect Behavior Order: Validate Before Canonicalize,Base,Draft,"The software validates input before it is canonicalized, which prevents the software from detecting data that becomes invalid after the canonicalization step.","This can be used by an attacker to bypass the validation and launch attacks that expose weaknesses that would otherwise be prevented, such as injection.",NULL,NULL
CWE-181,Incorrect Behavior Order: Validate Before Filter,Base,Draft,"The software validates data before it has been filtered, which prevents the software from detecting data that becomes invalid after the filtering step.","This can be used by an attacker to bypass the validation and launch attacks that expose weaknesses that would otherwise be prevented, such as injection.",NULL,NULL
CWE-182,Collapse of Data into Unsafe Value,Base,Draft,"The software filters data in a way that causes it to be reduced or ""collapsed"" into an unsafe value that violates an expected security property.",NULL,NULL,NULL
CWE-183,Permissive Whitelist,Base,Draft,"An application uses a ""whitelist"" of acceptable values, but the whitelist includes at least one unsafe value, leading to resultant weaknesses.",NULL,NULL,NULL
CWE-184,Incomplete Blacklist,Base,Draft,"An application uses a ""blacklist"" of prohibited values, but the blacklist is incomplete.","If an incomplete blacklist is used as a security mechanism, then the software may allow unintended values to pass into the application logic.",NULL,NULL
CWE-185,Incorrect Regular Expression,Base,Draft,The software specifies a regular expression in a way that causes data to be improperly matched or compared.,"When the regular expression is used in protection mechanisms such as filtering or validation, this may allow an attacker to bypass the intended restrictions on the incoming data.",NULL,NULL
CWE-186,Overly Restrictive Regular Expression,Base,Draft,"A regular expression is overly restrictive, which prevents dangerous values from being detected.","This weakness is not about regexp complexity. Rather It is about a regular expression that does not match all values that are intended. Consider the use of a regexp to whitelist acceptable values or to blacklist unwanted terms. An overly restrictive regexp misses some potentially security-relevant values leading to either false positives *or* false negatives, depending on how the regexp is being used within the code. Consider the expression /[0-8]/ where the intention was /[0-9]/.  This expression is not “complex” but the value “9” is not matched when maybe the programmer planned to check for it.",NULL,NULL
CWE-187,Partial String Comparison,Variant,Incomplete,"The software performs a comparison that only examines a portion of a factor before determining whether there is a match, such as a substring, leading to resultant weaknesses.","For example, an attacker might succeed in authentication by providing a small password that matches the associated portion of the larger, correct password.",NULL,NULL
CWE-188,Reliance on Data/Memory Layout,Base,Draft,"The software makes invalid assumptions about how protocol data or memory is organized at a lower level, resulting in unintended program behavior.","When changing platforms or protocol versions, in-memory organization of data may change in unintended ways. For example, some architectures may place local variables A and B right next to each other with A on top; some may place them next to each other with B on top; and others may add some padding to each. The padding size may vary to ensure that each variable is aligned to a proper word size.
            In protocol implementations, it is common to calculate an offset relative to another field to pick out a specific piece of data. Exceptional conditions, often involving new protocol versions, may add corner cases that change the data layout in an unusual way. The result can be that an implementation accesses an unintended field in the packet, treating data of one type as data of another type.",NULL,NULL
CWE-189,Numeric Errors,NULL,Draft,Weaknesses in this category are related to improper calculation or conversion of numbers.,NULL,NULL,NULL
CWE-19,Data Processing Errors,NULL,Draft,Weaknesses in this category are typically found in functionality that processes data.,NULL,NULL,NULL
CWE-190,Integer Overflow or Wraparound,Base,Incomplete,"The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control.","An integer overflow or wraparound occurs when an integer value is incremented to a value that is too large to store in the associated representation. When this occurs, the value may wrap to become a very small or negative number. While this may be intended behavior in circumstances that rely on wrapping, it can have security consequences if the wrap is unexpected. This is especially the case if the integer overflow can be triggered using user-supplied inputs. This becomes security-critical when the result is used to control looping, make a security decision, or determine the offset or size in behaviors such as memory allocation, copying, concatenation, etc.",NULL,NULL
CWE-191,Integer Underflow (Wrap or Wraparound),Base,Draft,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result.",This can happen in signed and unsigned cases.,NULL,NULL
CWE-192,Integer Coercion Error,Class,Incomplete,"Integer coercion refers to a set of flaws pertaining to the type casting, extension, or truncation of primitive data types.","Several flaws fall under the category of integer coercion errors. For the most part, these errors in and of themselves result only in availability and data integrity issues. However, in some circumstances, they may result in other, more complicated security related flaws, such as buffer overflow conditions.",NULL,NULL
CWE-193,Off-by-one Error,Base,Draft,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.",NULL,NULL,NULL
CWE-194,Unexpected Sign Extension,Base,Incomplete,"The software performs an operation on a number that causes it to be sign extended when it is transformed into a larger data type. When the original number is negative, this can produce unexpected values that lead to resultant weaknesses.",NULL,NULL,NULL
CWE-195,Signed to Unsigned Conversion Error,Variant,Draft,"The software uses a signed primitive and performs a cast to an unsigned primitive, which can produce an unexpected value if the value of the signed primitive can not be represented using an unsigned primitive.","It is dangerous to rely on implicit casts between signed and unsigned numbers because the result can take on an unexpected value and violate assumptions made by the program.
            Often, functions will return negative values to indicate a failure. When the result of a function is to be used as a size parameter, using these negative return values can have unexpected results. For example, if negative size values are passed to the standard memory copy or allocation functions they will be implicitly cast to a large unsigned value. This may lead to an exploitable buffer overflow or underflow condition.",NULL,NULL
CWE-196,Unsigned to Signed Conversion Error,Variant,Draft,"The software uses an unsigned primitive and performs a cast to a signed primitive, which can produce an unexpected value if the value of the unsigned primitive can not be represented using a signed primitive.","Although less frequent an issue than signed-to-unsigned conversion, unsigned-to-signed conversion can be the perfect precursor to dangerous buffer underwrite conditions that allow attackers to move down the stack where they otherwise might not have access in a normal buffer overflow condition. Buffer underwrites occur frequently when large unsigned values are cast to signed values, and then used as indexes into a buffer or for pointer arithmetic.",NULL,NULL
CWE-197,Numeric Truncation Error,Base,Incomplete,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion.,"When a primitive is cast to a smaller primitive, the high order bits of the large value are lost in the conversion, potentially resulting in an unexpected value that is not equal to the original value. This value may be required as an index into a buffer, a loop iterator, or simply necessary state data. In any case, the value cannot be trusted and the system will be in an undefined state. While this method may be employed viably to isolate the low bits of a value, this usage is rare, and truncation usually implies that an implementation error has occurred.",NULL,NULL
CWE-198,Use of Incorrect Byte Ordering,Base,Draft,"The software receives input from an upstream component, but it does not account for byte ordering (e.g. big-endian and little-endian) when processing the input, causing an incorrect number or value to be used.",NULL,NULL,NULL
CWE-199,Information Management Errors,NULL,Draft,Weaknesses in this category are related to improper handling of sensitive information.,NULL,NULL,NULL
CWE-2,7PK - Environment,NULL,Draft,"This category represents one of the phyla in the Seven Pernicious Kingdoms vulnerability classification. It includes weaknesses that are typically introduced during unexpected environmental conditions. According to the authors of the Seven Pernicious Kingdoms, ""This section includes everything that is outside of the source code but is still critical to the security of the product that is being created. Because the issues covered by this kingdom are not directly related to source code, we separated it from the rest of the kingdoms.""",NULL,NULL,NULL
CWE-20,Improper Input Validation,Class,Usable,The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program.,"When software does not validate input properly, an attacker is able to craft the input in a form that is not expected by the rest of the application. This will lead to parts of the system receiving unintended input, which may result in altered control flow, arbitrary control of a resource, or arbitrary code execution.",NULL,NULL
CWE-200,Information Exposure,Class,Incomplete,An information exposure is the intentional or unintentional disclosure of information to an actor that is not explicitly authorized to have access to that information.,"The information either:
            
               
                  is regarded as sensitive within the product's own functionality, such as a private message; or
                  provides information about the product or its environment that could be useful in an attack but is normally not available to the attacker, such as the installation path of a product that is remotely accessible.
               
            
            Many information exposures are resultant (e.g. PHP script error revealing the full path of the program), but they can also be primary (e.g. timing discrepancies in cryptography). There are many different types of problems that involve information exposures. Their severity can range widely depending on the type of information that is revealed.",NULL,NULL
CWE-201,Information Exposure Through Sent Data,Variant,Draft,The accidental exposure of sensitive information through sent data refers to the transmission of data which are either sensitive in and of itself or useful in the further exploitation of the system through standard data channels.,NULL,NULL,NULL
CWE-202,Exposure of Sensitive Data Through Data Queries,Variant,Draft,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics.","In situations where data should not be tied to individual users, but a large number of users should be able to make queries that ""scrub"" the identity of users, it may be possible to get information about a user -- e.g., by specifying search terms that are known to be unique to that user.",NULL,NULL
CWE-203,Information Exposure Through Discrepancy,Base,Incomplete,"The product behaves differently or sends different responses in a way that exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not.",NULL,NULL,NULL
CWE-204,Response Discrepancy Information Exposure,Base,Incomplete,The software provides different responses to incoming requests in a way that allows an actor to determine system state information that is outside of that actor's control sphere.,"This issue frequently occurs during authentication, where a difference in failed-login messages could allow an attacker to determine if the username is valid or not. These exposures can be inadvertent (bug) or intentional (design).",NULL,NULL
CWE-205,Information Exposure Through Behavioral Discrepancy,Base,Incomplete,The product's actions indicate important differences based on (1) the internal state of the product or (2) differences from other products in the same class.,"For example, attacks such as OS fingerprinting rely heavily on both behavioral and response discrepancies.",NULL,NULL
CWE-206,Information Exposure of Internal State Through Behavioral Inconsistency,Variant,Incomplete,"Two separate operations in a product cause the product to behave differently in a way that is observable to an attacker and reveals security-relevant information about the internal state of the product, such as whether a particular operation was successful or not.",NULL,NULL,NULL
CWE-207,Information Exposure Through an External Behavioral Inconsistency,Variant,Draft,"The product behaves differently than other products like it, in a way that is observable to an attacker and exposes security-relevant information about which product is being used.",NULL,NULL,NULL
CWE-208,Information Exposure Through Timing Discrepancy,Base,Incomplete,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not.",NULL,NULL,NULL
CWE-209,Information Exposure Through an Error Message,Base,Draft,"The software generates an error message that includes sensitive information about its environment, users, or associated data.","The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. If an attack fails, an attacker may use error information provided by the server to launch another more focused attack. For example, an attempt to exploit a path traversal weakness (CWE-22) might yield the full pathname of the installed application. In turn, this could be used to select the proper number of "".."" sequences to navigate to the targeted file. An attack using SQL injection (CWE-89) might not initially succeed, but an error message could reveal the malformed query, which would expose query logic and possibly even passwords or other sensitive information used within the query.",NULL,NULL
CWE-21,Pathname Traversal and Equivalence Errors,NULL,Incomplete,"Weaknesses in this category can be used to access files outside of a restricted directory (path traversal) or to perform operations on files that would otherwise be restricted (path equivalence). Files, directories, and folders are so central to information technology that many different weaknesses and variants have been discovered. The manipulations generally involve special characters or sequences in pathnames, or the use of alternate references or channels.",NULL,NULL,NULL
CWE-210,Information Exposure Through Self-generated Error Message,Base,Draft,The software identifies an error condition and creates its own diagnostic or error messages that contain sensitive information.,NULL,NULL,NULL
CWE-211,Information Exposure Through Externally-Generated Error Message,Base,Incomplete,"The software performs an operation that triggers an external diagnostic or error message that is not directly generated by the software, such as an error generated by the programming language interpreter that the software uses. The error can contain sensitive system information.",NULL,NULL,NULL
CWE-212,Improper Cross-boundary Removal of Sensitive Data,Base,Incomplete,"The software uses a resource that contains sensitive data, but it does not properly remove that data before it stores, transfers, or shares the resource with actors in another control sphere.","Resources that may contain sensitive data include documents, packets, messages, databases, etc. While this data may be useful to an individual user or small set of users who share the resource, it may need to be removed before the resource can be shared outside of the trusted group. The process of removal is sometimes called cleansing or scrubbing.
            For example, software that is used for editing documents might not remove sensitive data such as reviewer comments or the local pathname where the document is stored. Or, a proxy might not remove an internal IP address from headers before making an outgoing request to an Internet site.",NULL,NULL
CWE-213,Intentional Information Exposure,Base,Draft,A product's design or configuration explicitly requires the publication of information that could be regarded as sensitive by an administrator.,NULL,NULL,NULL
CWE-214,Information Exposure Through Process Environment,Variant,Incomplete,"A process is invoked with sensitive arguments, environment variables, or other elements that can be seen by other processes on the operating system.","Many operating systems allow a user to list information about processes that are owned by other users. This information could include command line arguments or environment variable settings. When this data contains sensitive information such as credentials, it might allow other users to launch an attack against the software or related resources.",NULL,NULL
CWE-215,Information Exposure Through Debug Information,Variant,Draft,The application contains debugging code that can expose sensitive information to untrusted parties.,NULL,NULL,NULL
CWE-216,Containment Errors (Container Errors),Class,Incomplete,"This tries to cover various problems in which improper data are included within a ""container.""",NULL,NULL,NULL
CWE-217,DEPRECATED: Failure to Protect Stored Data from Modification,Base,Deprecated,This weakness has been deprecated because it incorporated and confused multiple weaknesses. The issues formerly covered in this weakness can be found at CWE-766 and CWE-767.,NULL,NULL,NULL
CWE-218,DEPRECATED (Duplicate): Failure to provide confidentiality for stored data,Base,Deprecated,This weakness has been deprecated because it was a duplicate of CWE-493. All content has been transferred to CWE-493.,NULL,NULL,NULL
CWE-219,Sensitive Data Under Web Root,Variant,Draft,"The application stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties.",NULL,NULL,NULL
CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Base,Draft,"The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.","Many file operations are intended to take place within a restricted directory. By using special elements such as "".."" and ""/"" separators, attackers can escape outside of the restricted location to access files or directories that are elsewhere on the system. One of the most common special elements is the ""../"" sequence, which in most modern operating systems is interpreted as the parent directory of the current location. This is referred to as relative path traversal. Path traversal also covers the use of absolute pathnames such as ""/usr/local/bin"", which may also be useful in accessing unexpected files. This is referred to as absolute path traversal.
            In many programming languages, the injection of a null byte (the 0 or NUL) may allow an attacker to truncate a generated filename to widen the scope of attack. For example, the software may add "".txt"" to any pathname, thus limiting the attacker to text files, but a null injection may effectively remove this restriction.",NULL,NULL
CWE-220,Sensitive Data Under FTP Root,Variant,Draft,"The application stores sensitive data under the FTP document root with insufficient access control, which might make it accessible to untrusted parties.",NULL,"Various Unix FTP servers require a password file that is under the FTP root, due to use of chroot.",NULL
CWE-221,Information Loss or Omission,Class,Incomplete,"The software does not record, or improperly records, security-relevant information that leads to an incorrect decision or hampers later analysis.","This can be resultant, e.g. a buffer overflow might trigger a crash before the product can log the event.",NULL,NULL
CWE-222,Truncation of Security-relevant Information,Base,Draft,"The application truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack.",NULL,NULL,NULL
CWE-223,Omission of Security-relevant Information,Base,Draft,"The application does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe.",NULL,NULL,NULL
CWE-224,Obscured Security-relevant Information by Alternate Name,Base,Incomplete,"The software records security-relevant information according to an alternate name of the affected entity, instead of the canonical name.",NULL,NULL,NULL
CWE-225,DEPRECATED (Duplicate): General Information Management Problems,Base,Deprecated,This weakness can be found at CWE-199.,NULL,NULL,NULL
CWE-226,Sensitive Information Uncleared Before Release,Base,Draft,"The software does not fully clear previously used information in a data structure, file, or other resource, before making that resource available to a party in another control sphere.","This typically results from new data that is not as long as the old data, which leaves portions of the old data still available. Equivalent errors can occur in other situations where the length of data is variable but the associated data structure is not. If memory is not cleared after use, it may allow unintended actors to read the data when the memory is reallocated.",NULL,NULL
CWE-227,7PK - API Abuse,NULL,Draft,"This category represents one of the phyla in the Seven Pernicious Kingdoms vulnerability classification. It includes weaknesses that involve the software useing an API in a manner contrary to its intended use. According to the authors of the Seven Pernicious Kingdoms, ""An API is a contract between a caller and a callee. The most common forms of API misuse occurs when the caller does not honor its end of this contract. For example, if a program does not call chdir() after calling chroot(), it violates the contract that specifies how to change the active root directory in a secure fashion. Another good example of library abuse is expecting the callee to return trustworthy DNS information to the caller. In this case, the caller misuses the callee API by making certain assumptions about its behavior (that the return value can be used for authentication purposes). One can also violate the caller-callee contract from the other side. For example, if a coder subclasses SecureRandom and returns a non-random value, the contract is violated.""",NULL,NULL,NULL
CWE-228,Improper Handling of Syntactically Invalid Structure,Class,Incomplete,The product does not handle or incorrectly handles input that is not syntactically well-formed with respect to the associated specification.,NULL,NULL,NULL
CWE-229,Improper Handling of Values,Base,Incomplete,"The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined.",NULL,NULL,NULL
CWE-23,Relative Path Traversal,Base,Draft,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as "".."" that can resolve to a location that is outside of that directory.",This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory.,NULL,NULL
CWE-230,Improper Handling of Missing Values,Variant,Draft,"The software does not handle or incorrectly handles when a parameter, field, or argument name is specified, but the associated value is missing, i.e. it is empty, blank, or null.",NULL,NULL,NULL
CWE-231,Improper Handling of Extra Values,Variant,Draft,The software does not handle or incorrectly handles when more values are provided than expected.,NULL,NULL,NULL
CWE-232,Improper Handling of Undefined Values,Variant,Draft,"The software does not handle or incorrectly handles when a value is not defined or supported for the associated parameter, field, or argument name.",NULL,NULL,NULL
CWE-233,Improper Handling of Parameters,Base,Incomplete,"The software does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined.",NULL,NULL,NULL
CWE-234,Failure to Handle Missing Parameter,Variant,Incomplete,"If too few arguments are sent to a function, the function will still pop the expected number of arguments from the stack. Potentially, a variable number of arguments could be exhausted in a function as well.",NULL,NULL,NULL
CWE-235,Improper Handling of Extra Parameters,Variant,Draft,"The software does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount.",NULL,NULL,NULL
CWE-236,Improper Handling of Undefined Parameters,Variant,Draft,"The software does not handle or incorrectly handles when a particular parameter, field, or argument name is not defined or supported by the product.",NULL,NULL,NULL
CWE-237,Improper Handling of Structural Elements,Base,Incomplete,The software does not handle or incorrectly handles inputs that are related to complex structures.,NULL,NULL,NULL
CWE-238,Improper Handling of Incomplete Structural Elements,Variant,Draft,The software does not handle or incorrectly handles when a particular structural element is not completely specified.,NULL,NULL,NULL
CWE-239,Failure to Handle Incomplete Element,Variant,Draft,The software does not properly handle when a particular element is not completely specified.,NULL,NULL,NULL
CWE-24,Path Traversal: '../filedir',Variant,Incomplete,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""../"" sequences that can resolve to a location that is outside of that directory.","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory.
            The ""../"" manipulation is the canonical manipulation for operating systems that use ""/"" as directory separators, such as UNIX- and Linux-based systems. In some cases, it is useful for bypassing protection schemes in environments for which ""/"" is supported but not the primary separator, such as Windows, which uses ""\"" but can also accept ""/"".",NULL,NULL
CWE-240,Improper Handling of Inconsistent Structural Elements,Base,Draft,"The software does not handle or incorrectly handles when two or more structural elements should be consistent, but are not.",NULL,NULL,NULL
CWE-241,Improper Handling of Unexpected Data Type,Base,Draft,"The software does not handle or incorrectly handles when a particular element is not the expected type, e.g. it expects a digit (0-9) but is provided with a letter (A-Z).",NULL,NULL,NULL
CWE-242,Use of Inherently Dangerous Function,Base,Draft,The program calls a function that can never be guaranteed to work safely.,"Certain functions behave in dangerous ways regardless of how they are used. Functions in this category were often implemented without taking security concerns into account. The gets() function is unsafe because it does not perform bounds checking on the size of its input. An attacker can easily send arbitrarily-sized input to gets() and overflow the destination buffer. Similarly, the >> operator is unsafe to use when reading into a statically-allocated character array because it does not perform bounds checking on the size of its input. An attacker can easily send arbitrarily-sized input to the >> operator and overflow the destination buffer.",NULL,NULL
CWE-243,Creation of chroot Jail Without Changing Working Directory,Variant,Draft,"The program uses the chroot() system call to create a jail, but does not change the working directory afterward. This does not prevent access to files outside of the jail.","Improper use of chroot() may allow attackers to escape from the chroot jail. The chroot() function call does not change the process's current working directory, so relative paths may still refer to file system resources outside of the chroot jail after chroot() has been called.","The chroot() system call allows a process to change its perception of the root directory of the file system. After properly invoking chroot(), a process cannot access any files outside the directory tree defined by the new root directory. Such an environment is called a chroot jail and is commonly used to prevent the possibility that a processes could be subverted and used to access unauthorized files. For instance, many FTP servers run in chroot jails to prevent an attacker who discovers a new vulnerability in the server from being able to download the password file or other sensitive files on the system.",NULL
CWE-244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),Variant,Draft,"Using realloc() to resize buffers that store sensitive information can leave the sensitive information exposed to attack, because it is not removed from memory.","When sensitive data such as a password or an encryption key is not removed from memory, it could be exposed to an attacker using a ""heap inspection"" attack that reads the sensitive data using memory dumps or other methods. The realloc() function is commonly used to increase the size of a block of allocated memory. This operation often requires copying the contents of the old memory block into a new and larger block. This operation leaves the contents of the original block intact but inaccessible to the program, preventing the program from being able to scrub sensitive data from memory. If an attacker can later examine the contents of a memory dump, the sensitive data could be exposed.",NULL,NULL
CWE-245,J2EE Bad Practices: Direct Management of Connections,Variant,Draft,"The J2EE application directly manages connections, instead of using the container's connection management facilities.","The J2EE standard forbids the direct management of connections. It requires that applications use the container's resource management facilities to obtain connections to resources. Every major web application container provides pooled database connection management as part of its resource management framework. Duplicating this functionality in an application is difficult and error prone, which is part of the reason it is forbidden under the J2EE standard.",NULL,NULL
CWE-246,J2EE Bad Practices: Direct Use of Sockets,Variant,Draft,The J2EE application directly uses sockets instead of using framework method calls.,"The J2EE standard permits the use of sockets only for the purpose of communication with legacy systems when no higher-level protocol is available. Authoring your own communication protocol requires wrestling with difficult security issues.
            Without significant scrutiny by a security expert, chances are good that a custom communication protocol will suffer from security problems. Many of the same issues apply to a custom implementation of a standard protocol. While there are usually more resources available that address security concerns related to implementing a standard protocol, these resources are also available to attackers.",NULL,NULL
CWE-247,DEPRECATED (Duplicate): Reliance on DNS Lookups in a Security Decision,Base,Deprecated,This entry has been deprecated because it was a duplicate of CWE-350. All content has been transferred to CWE-350.,NULL,NULL,NULL
CWE-248,Uncaught Exception,Base,Draft,"An exception is thrown from a function, but it is not caught.","When an exception is not caught, it may cause the program to crash or expose sensitive information.",NULL,NULL
CWE-249,DEPRECATED: Often Misused: Path Manipulation,Variant,Deprecated,This entry has been deprecated because of name confusion and an accidental combination of multiple weaknesses. Most of its content has been transferred to CWE-785.,NULL,NULL,NULL
CWE-25,Path Traversal: '/../filedir',Variant,Incomplete,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""/../"" sequences that can resolve to a location that is outside of that directory.","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory.
            Sometimes a program checks for ""../"" at the beginning of the input, so a ""/../"" can bypass that check.",NULL,NULL
CWE-250,Execution with Unnecessary Privileges,Class,Draft,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses.","New weaknesses can be exposed because running with extra privileges, such as root or Administrator, can disable the normal security checks being performed by the operating system or surrounding environment. Other pre-existing weaknesses can turn into security vulnerabilities if they occur while operating at raised privileges.
            Privilege management functions can behave in some less-than-obvious ways, and they have different quirks on different platforms. These inconsistencies are particularly pronounced if you are transitioning from one non-root user to another. Signal handlers and spawned processes run at the privilege of the owning process, so if a process is running as root when a signal fires or a sub-process is executed, the signal handler or sub-process will operate with root privileges.",NULL,NULL
CWE-251,Often Misused: String Management,NULL,Incomplete,Functions that manipulate strings encourage buffer overflows.,NULL,NULL,NULL
CWE-252,Unchecked Return Value,Base,Draft,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions.","Two common programmer assumptions are ""this function call can never fail"" and ""it doesn't matter if this function call fails"". If an attacker can force the function to fail or otherwise return a value that is not expected, then the subsequent program logic could lead to a vulnerability, because the software is not in a state that the programmer assumes. For example, if the program calls a function to drop privileges but does not check the return code to ensure that privileges were successfully dropped, then the program will continue to operate with the higher privileges.",Many functions will return some value about the success of their actions. This will alert the program whether or not to handle any errors caused by that function.,NULL
CWE-253,Incorrect Check of Function Return Value,Base,Incomplete,"The software incorrectly checks a return value from a function, which prevents the software from detecting errors or exceptional conditions.",Important and common functions will return some value about the success of its actions. This will alert the program whether or not to handle any errors caused by that function.,NULL,NULL
CWE-254,7PK - Security Features,NULL,Incomplete,"Software security is not security software. Here we're concerned with topics like authentication, access control, confidentiality, cryptography, and privilege management.",NULL,NULL,NULL
CWE-255,Credentials Management,NULL,Draft,Weaknesses in this category are related to the management of credentials.,NULL,NULL,NULL
CWE-256,Unprotected Storage of Credentials,Base,Incomplete,Storing a password in plaintext may result in a system compromise.,Password management issues occur when a password is stored in plaintext in an application's properties or configuration file. Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource.,NULL,NULL
CWE-257,Storing Passwords in a Recoverable Format,Base,Incomplete,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts.",NULL,NULL,NULL
CWE-258,Empty Password in Configuration File,Variant,Incomplete,Using an empty string as a password is insecure.,NULL,NULL,NULL
CWE-259,Use of Hard-coded Password,Base,Draft,"The software contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.","A hard-coded password typically leads to a significant authentication failure that can be difficult for the system administrator to detect. Once detected, it can be difficult to fix, so the administrator may be forced into disabling the product entirely. There are two main variations:
            
               Inbound: the software contains an authentication mechanism that checks for a hard-coded password.
               Outbound: the software connects to another system or component, and it contains hard-coded password for connecting to that component.
            
            In the Inbound variant, a default administration account is created, and a simple password is hard-coded into the product and associated with that account. This hard-coded password is the same for each installation of the product, and it usually cannot be changed or disabled by system administrators without manually modifying the program, or otherwise patching the software. If the password is ever discovered or published (a common occurrence on the Internet), then anybody with knowledge of this password can access the product. Finally, since all installations of the software will have the same password, even across different organizations, this enables massive attacks such as worms to take place.
            The Outbound variant applies to front-end systems that authenticate with a back-end service. The back-end service may require a fixed password which can be easily discovered. The programmer may simply hard-code those back-end credentials into the front-end software. Any user of that program may be able to extract the password. Client-side systems with hard-coded passwords pose even more of a threat, since the extraction of a password from a binary is usually very simple.",NULL,NULL
