icsa_id,icsa_url,icsa_release,icsa_update,icsa_description,icsa_is_update,icsa_vendor,icsa_oneliner
ICSA-11-355-02,https://www.us-cert.gov/ics/advisories/ICSA-11-355-02,2011-12-10,2013-04-26,WellinTech KingView History Server Buffer Overflow,1,WellinTech," ICS-CERT has received a report from the Zero Day Initiative (ZDI) concerning a heap-based buffer overflow vulnerability in WellinTech’s Kingview HistoryServer.exe, which may allow a remote, unauthenticated attacker to execute arbitrary code. This vulnerability was reported to ZDI by independent security researcher Luigi Auriemma. WellinTech has produced a patch that is available for download from its website."
ICSA-11-356-01,https://www.us-cert.gov/ics/advisories/ICSA-11-356-01,2011-12-22,2013-04-22,Siemens Simatic HMI Authentication Vulnerabilities,1,Siemens," ICS-CERT is aware of a public report by independent security researchers Billy Rios and Terry McCorkle concerning authentication bypass vulnerabilities affecting Siemens SIMATIC HMI products which are supervisory control and data acquisition/human-machine interface (SCADA/HMI) products. According to this report, systems running affected versions of this product are accessible using a default username and password. These systems also generate an insecure authentication token for browser sessions. Prior to public disclosure, the researchers notified ICS-CERT of the vulnerabilities. ICS-CERT is continuing to coordinate mitigations with the researchers and Siemens. Siemens was previously aware of these vulnerabilities and intends to address them in Service Packs to be released in January 2012. Please see mitigation section of this document for additional information regarding the release of the Service Packs. Siemens has also updated its product documentation with instructions for configuring a strong password and removing default passwords during initial setup."
ICSA-11-361-01,https://www.us-cert.gov/ics/advisories/ICSA-11-361-01,2011-12-27,2018-09-06,Siemens Automation License Manager Vulnerabilities,1,Siemens," This Advisory is a follow-up to the original Alert titled “ICS-ALERT-11-332-01A—Siemens Automation License Manager Vulnerabilities” that was published December 02, 2011, on the ICS-CERT web page. ICS-CERT is aware of publicly disclosed reports of four vulnerabilities in Siemens Automation License Manager (ALM) application. These vulnerabilities include: Buffer overflowExceptionNull pointerImproper input validation. Independent researcher Luigi Auriemma publicly disclosed four vulnerabilities along with proof-of-concept (PoC) exploit code without coordination from Siemens, ICS-CERT, or any other coordinating entity known to ICS-CERT. Siemens has confirmed these vulnerabilities and has released a patch to address the issue. ICS-CERT has not validated the patch."
ICSA-11-362-01,https://www.us-cert.gov/ics/advisories/ICSA-11-362-01,2011-12-28,2018-09-06,ScadaTEC ScadaPhone &amp; Modbus TagServer Buffer Overflow Vulnerability,1,ScadaTEC," This advisory is a follow-up to the ICS-CERT alert titled ICS-ALERT-11-255-01—ScadaTEC ScadaPhone/ModbusTagServer Buffer Overflow, which was published September 12, 2011, on the ICS-CERT Web page. On September 12, 2011, independent security researcher Steven Seeley publicly released a report that included proof-of-concept exploit code targeting a buffer overflow vulnerability in the ScadaTEC ScadaPhone and ModbusTagServer products. Currently, the exploit code allows an attacker to bind a shell for remote access. According to the report, exploitation of this vulnerability requires a specially crafted ZIP file to be opened using the affected application. ScadaTEC has produced a patch that resolves this vulnerability for all affected products and versions. ICS-CERT has validated that these patches fully resolve the vulnerability."
ICSA-12-006-01,https://www.us-cert.gov/ics/advisories/ICSA-12-006-01,2012-01-05,2018-09-06,3S CoDeSys Vulnerabilities,1,3S-Smart Software Solutions," This advisory is a follow-up to the alert update, ICS-ALERT-11-336-01A 3S CoDeSys Vulnerabilities, which was released on the ICS-CERT Web page on December 02, 2011. Security researcher Celil Unuver (SignalSec LLC) and independent researcher Luigi Auriemma have identified vulnerabilities in the 3S Smart Software Solutions CoDeSys product, summarized in the following table. Mr. Auriemma publicly disclosed the five vulnerabilities along with proof-of-concept (PoC) exploit code, including the vulnerability previously coordinated with ICS-CERT by Celil Unuver, without coordination with 3S Smart Software Solutions, ICS-CERT, or any other coordinating entity known to ICS-CERT. ICS-CERT has coordinated these vulnerabilities with 3S Smart Software Solutions, and they have produced new versions for both CoDeSys V3 and V2.3 that mitigate these vulnerabilities. Mr. Auriemma has confirmed that the new versions fully resolve the reported vulnerabilities."
ICSA-12-012-01A,https://www.us-cert.gov/ics/advisories/ICSA-12-012-01A,2012-01-25,2018-09-06,Open Automation Software OPC Systems.NET Vulnerability (Update A),1,Open Automation Software," This Advisory is a follow-up to “ICS-ALERT-11-285-01—Open Automation Software OPC Systems.NET Vulnerability” that was posted on the ICS-CERT website on October 12, 2011.Independent researcher Luigi Auriemma publicly reported a malformed packet vulnerability in Open Automation Software’s OPC Systems.NET along with proof-of-concept (PoC) exploit code. This public report was released without coordination with Open Automation Software, ICS-CERT, or any other coordinating entity known to ICS-CERT.ICS-CERT has coordinated this vulnerability with Open Automation Software, and they have produced an update that resolves this vulnerability. Luigi Auriemma has tested the update and has confirmed that it resolves the vulnerability."
ICSA-12-013-01,https://www.us-cert.gov/ics/advisories/ICSA-12-013-01,2012-02-06,2014-06-02,ING. Punzenberger COPA-DATA GMBH DoS Vulnerabilities,1,COPA-DATA," ICS-CERT originally released Advisory ICSA-12-013-01P on the US-CERT secure portal on January 13, 2012. This web page release was delayed to allow users time to download and install the update. Researcher Kuang-Chun Hung of the Security Research and Service Institute--Information and Communication Security Technology Center (ICST) has identified multiple denial-of-service (DoS) vulnerabilities in the Ing. Punzenberger COPA-DATA GmbH zenon human-machine interface (HMI) system. ICS-CERT has coordinated with Ing. Punzenberger COPA-DATA GmbH, which has produced an updated software release that resolves these vulnerabilities. ICST has tested the new release and verified that it fully resolves these vulnerabilities."
ICSA-12-016-01,https://www.us-cert.gov/ics/advisories/ICSA-12-016-01,2012-01-15,2013-04-17,Cogent DataHub XSS and CRLF,1,Cogent Real-Time Systems Inc," ICS-CERT is aware of a public report of multiple vulnerabilities in Cogent’s DataHub application. These vulnerabilities include cross-site scripting and an HTTP header injection vulnerability, also known as a carriage return line feed. According to the report, Cogent Real-Times Systems Inc. has produced a patch that resolves these vulnerabilities. Kuang-Chun Hung of Security Research and Service Institute - Information and Communication Security Technology Center (ICST), Taiwan R.O.C. reported these vulnerabilities to JPCERT/CC."
ICSA-12-018-01B,https://www.us-cert.gov/ics/advisories/ICSA-12-018-01B,2013-09-23,2018-09-06,Schneider Electric Quantum Ethernet Module Hard-Coded Credentials (Update B),1,Schneider Electric," --------- Begin Update B Part 1 of 3 -------- This updated advisory is a follow-up to the updated advisory titled ICSA-12-018-01A Schneider Electric Quantum Ethernet Module Hard-Coded Credentials that was published on June 04, 2013, on the ICS-CERT Web site. It is also a follow-up to the original alert titled ICS-ALERT-11-346-01 Schneider Electric Quantum Ethernet Module Credentials that was published December 12, 2011, on the ICS-CERT Web page. This advisory corrects and expands on the details in the specified alert and subsequent advisory updates."
ICSA-12-018-02,https://www.us-cert.gov/ics/advisories/ICSA-12-018-02,2012-01-17,2018-08-22,Certec Atvise Server Remote DOS,1,Certec EDV GmbH," Independent researcher Luigi Auriemma has identified a denial of service (DoS) vulnerability in Certec EDV GmbH atvise application. Certec has produced an update that resolves this vulnerability. Mr. Auriemma validated that the update resolves the vulnerability."
ICSA-12-024-01,https://www.us-cert.gov/ics/advisories/ICSA-12-024-01,2012-01-24,2013-04-23,Ocean Data Systems Dream Reports XSS and Write Access Violation Vulnerabilities,1,Ocean Data," Independent researchers Billy Rios and Terry McCorkle identified cross-site scripting (XSS) and write access violation vulnerabilities in Ocean Data Systems Dream Report application.ICS-CERT has coordinated these vulnerabilities with Ocean Data Systems, which has produced a new version that resolves the reported vulnerabilities. The researchers have tested the new version to confirm that it resolves the vulnerability."
ICSA-12-024-02,https://www.us-cert.gov/ics/advisories/ICSA-12-024-02,2012-01-23,2018-09-06,MICROSYS PROMOTIC Vulnerabilities,1,MICROSYS,NULL
ICSA-12-025-02A,https://www.us-cert.gov/ics/advisories/ICSA-12-025-02A,2012-02-19,2013-05-08,7-Technologies Termis DLL Hijacking (Update A),1,7-Technologies," ICS-CERT originally released Advisory ICSA-12-025-02P on the US-CERT secure portal on January 25, 2012. This web page release was delayed to allow users time to download and install the update. Researcher Kuang-Chun Hung of the Security Research and Service Institute-Information and Communication Security Technology Center (ICST) identified an uncontrolled search path element vulnerability (often called DLL hijacking), commonly referred to as DLL Hijacking, in the 7-Technologies (7T) TERMIS software. ICS-CERT has coordinated this report with 7T, and 7T has created a patch that resolves this vulnerability. ICST has confirmed this patch fully resolves the reported vulnerability."
ICSA-12-030-01A,https://www.us-cert.gov/ics/advisories/ICSA-12-030-01A,2012-04-18,2018-09-06,Siemens SIMATIC WinCC Vulnerabilities (UPDATE A),1,Siemens," This advisory is a follow-up to a previous advisory titled “ICSA-11-356-01 – Siemens HMI Authentication Vulnerabilities” that was published December 22, 2011, and an alert titled ""ICS-ALERT-11-332-02A – Siemens SIMATIC WinCC Flexible Vulnerabilities"" that was published December 2, 2011. ICS-CERT has received reports from independent security researchers Billy Rios, Terry McCorkle, Shawn Merdinger, and Luigi Auriemma detailing several vulnerabilities in Siemens SIMATIC WinCC Human-Machine Interface (HMI) application. ICS-CERT has coordinated with these researchers and Siemens to validate these vulnerabilities and include mitigation strategies in the latest Siemens service packs.a"
ICSA-12-032-01,https://www.us-cert.gov/ics/advisories/ICSA-12-032-01,2012-03-13,2013-04-30,GE Proficy Historian ihDataArchiver,1,GE," ICS-CERT originally released Advisory ICSA-12-032-01P on the US-CERT secure portal on March 02, 2012. This web page release was delayed to allow users time to download and install the update. ICS-CERT received a report from GE Intelligent Platforms and the Zero Day Initiative (ZDI) concerning a memory corruption vulnerability in the GE Intelligent Platforms Proficy Historian Data Archiver. If exploited, this vulnerability could allow an attacker to cause the Historian Data Archiver service to crash, which may lead to arbitrary code execution. This vulnerability was reported to ZDI by independent security researcher Luigi Auriemma. GE Intelligent Platforms has created a patch to address the issue."
ICSA-12-032-02,https://www.us-cert.gov/ics/advisories/ICSA-12-032-02,2012-03-13,2013-08-28,GE Intelligent Platforms Proficy Plant Applications Memory Corruption Vulnerabilities,1,GE," ICS-CERT received a report from GE Intelligent Platforms and the Zero Day Initiative (ZDI) concerning multiple memory corruption vulnerabilities in the GE Intelligent Platforms Proficy Plant Applications. These vulnerabilities were reported to ZDI by independent security researcher Luigi Auriemma. If exploited, these vulnerabilities could allow an attacker to cause multiple Proficy services to crash, which may lead to arbitrary code execution. concerning multiple memory corruption vulnerabilities in the GE Intelligent Platforms Proficy Plant Applications. These vulnerabilities were reported to ZDI by independent security researcher Luigi Auriemma.GE Intelligent Platforms has created patches to address these issues."
ICSA-12-032-03,https://www.us-cert.gov/ics/advisories/ICSA-12-032-03,2012-03-13,2013-04-22,GE Intelligent Platforms Proficy Real-Time Information Portal Directory Traversal,1,GE," ICS-CERT received a report from GE Intelligent Platforms and the Zero Day Initiative (ZDI). If exploited, this vulnerability could allow an attacker to create or overwrite a file on the system running Real-Time Information Portal. concerning a directory traversal vulnerability in the GE Intelligent Platforms Proficy Real-Time Information Portal. This vulnerability was reported to ZDI by independent security researcher Luigi Auriemma. GE Intelligent Platforms has created patches to address this issue."
ICSA-12-039-01,https://www.us-cert.gov/ics/advisories/ICSA-12-039-01,2012-02-08,2013-05-01,Invensys Wonderware HMI Reports XSS and Write Access Violation Vulnerabilities,1,Invensys," Independent security researchers Billy Rios and Terry McCorkle have identified cross-site scripting (XSS) and write access violation vulnerabilities in the Invensys Wonderware HMI reports product.ICS-CERT has coordinated these two vulnerabilities with Invensys, which has produced a new product version that resolves these reported vulnerabilities. The researchers have confirmed that the new version resolves these vulnerabilities."
ICSA-12-047-01A,https://www.us-cert.gov/ics/advisories/ICSA-12-047-01A,2012-02-17,2018-08-27,Advantech WebAccess Vulnerabilities (UPDATE A),1,Advantech," This advisory follows up on two previous ICS-CERT Alerts: “ICS-ALERT-11-245-01—Multiple ActiveX Vulnerabilities in Advantech BroadWin WebAccess,” published September 2, 2011.a“ICS-ALERT-11-306-01—Advantech BroadWin WebAccess ActiveX Vulnerability,” published November 2, 2011.b ICS-CERT received both coordinated and uncoordinated reports of eighteen vulnerabilities in BroadWin WebAccess. These vulnerabilities include: Cross-site scripting (XSS)SQL injectionCross-site report forgery (CSRF)Authentication issues."
ICSA-12-059-01,https://www.us-cert.gov/ics/advisories/ICSA-12-059-01,2012-02-27,2013-05-08,ABB Robot Communications Runtime Buffer Overflow,1,ABB," ICS-CERT received a report from ABB and the Zero Day Initiative (ZDI) concerning a buffer overflow vulnerability in the Robot Communication Runtime software used to communicate with IRC5, IRC5C, and IRCP robot controllers. This vulnerability was reported to ZDI by independent security researcher Luigi Auriemma. If exploited, this vulnerability could allow an attacker to cause a denial of service to the robot scanning and discovery service on the computer and potentially execute remote code with administrator privileges. ABB has developed a patch to address this issue."
ICSA-12-062-01,https://www.us-cert.gov/ics/advisories/ICSA-12-062-01,2012-04-02,2013-05-01,Wonderware Information Server Multiple Vulnerabilities,1,Invensys," ICS-CERT originally released Advisory “ICSA-12-062-01P?Invensys Wonderware Information Server Multiple Vulnerabilities” on the US-CERT secure portal on March 02, 2012. This web page release was delayed to allow users time to download and install the update. Independent security researchers Terry McCorkle and Billy Rios have identified multiple vulnerabilities in the Invensys Wonderware Information Server. Invensys has developed a security update to address these affected products. Invensys has expressed appreciation to Billy Rios and Terry McCorkle as independent security researchers for the discovery and collaboration with Invensys on resolving these vulnerabilities."
ICSA-12-079-01,https://www.us-cert.gov/ics/advisories/ICSA-12-079-01,2012-03-19,2013-05-01,Microsoft Remote Desktop Protocol Memory Corruption Vulnerability,1,Microsoft," ICS-CERT is aware of a public report of a Remote Desktop Protocol (RDP) vulnerability with proof-of-concept (PoC) exploit code affecting multiple Microsoft Windows operating systems. RDP is a proprietary protocol developed by Microsoft, which provides a user with a graphical interface to another computer. In a control system environment, this protocol is typically used for remote access.Security researcher Luigi Auriemma coordinated the release of this information through the Zero Day Initiative (ZDI).1 Microsoft has issued a patch for this vulnerability that is available on their update website or automatically if automatic updates are turned on in a system. Though this report is not industrial control system (ICS)-specific, the results of successfully exploiting this vulnerability are far reaching into the ICS environment."
ICSA-12-081-01,https://www.us-cert.gov/ics/advisories/ICSA-12-081-01,2012-03-30,2013-05-01,Wonderware System Platform Buffer Overflows,1,Invensys," ICS-CERT originally released Advisory ICSA-12-081-01P on the US-CERT secure portal on March 21, 2012. This web page release was delayed to allow users time to download and install the update. Independent researcher Celil Unuver from SignalSec Corporation has identified two buffer overflow vulnerabilities in the WWCabFile component of the Wonderware System Platform, which is used by multiple applications that run on the platform. Invensys has produced a patch that resolves these vulnerabilities. Mr. Unuver has tested the patch and verified that it resolves the vulnerabilities."
ICSA-12-083-01,https://www.us-cert.gov/ics/advisories/ICSA-12-083-01,2012-03-23,2018-09-06,Ecava IntegraXor ActiveX Directory Traversal,1,Ecava," Independent researchers Billy Rios and Terry McCorkle have identified a Path Traversal vulnerability in the Ecava IntegraXor application. Ecava has produced an update that mitigates this vulnerability. The researchers have validated that the patch fixes this vulnerability."
ICSA-12-088-01A,https://www.us-cert.gov/ics/advisories/ICSA-12-088-01A,2012-04-06,2018-09-06,Rockwell Automation FactoryTalk RNADiagReceiver (UPDATE A),1,Rockwell Automation," This Updated Advisory is a follow-up to the original Advisory titled “ICSA-12-088-01 – Rockwell Automation FactoryTalk RNADiagReceiver DOS Vulnerabilities” that was published March 28, 2012 on the ICS-CERT web page. This advisory is a follow-up to ICS-CERT Alert “ICS-ALERT-12-017-01—ROCKWELL AUTOMATION FACTORYTALK RNADIAGRECEIVER” that was published January 17, 2012, on the ICS-CERT web page. Independent researcher Luigi Auriemma identified two vulnerabilities that may result in a denial-of-service (DoS) condition in the Rockwell Automation FactoryTalk (FT) application. These vulnerabilities were reported, along with proof-of-concept code, without coordination with ICS-CERT, the vendor, or other coordinating entity. The two vulnerabilities include an unexpected return value and a read access violation. ICS-CERT has coordinated these vulnerabilities with Rockwell Automation who developed a patch that resolves these vulnerabilities."
ICSA-12-095-01A,https://www.us-cert.gov/ics/advisories/ICSA-12-095-01A,2012-04-12,2013-04-16,ABB Multiple Components Buffer Overflow (UPDATE),1,ABB," Independent researchers Terry McCorkle and Billy Rios identified a buffer overflow vulnerability in multiple components of the ABB WebWare Server application. These components have been found to contain vulnerabilities in the COM and scripting interfaces. Follow-up investigation by ABB showed that these components are used in multiple ABB legacy products. Because these are legacy products nearing the end of their life cycle, ABB does not intend to patch these vulnerable components."
ICSA-12-102-01,https://www.us-cert.gov/ics/advisories/ICSA-12-102-01,2012-04-11,2018-08-23,Certec atvise webMI2ADS Vulnerabilities,1,Certec EDV GmbH," This advisory is a follow-up to the ICS-CERT alert titled ICS-ALERT-11-283-02 – Certec atvise webMI Vulnerabilities, released to the ICS-CERT web page on October 10, 2011. Independent researcher Luigi Auriemma has identified vulnerabilities in Certec’s webMI2ADS application. These vulnerabilities and proof of concept code were disclosed without coordination with ICS-CERT, the vendor, or any other coordinating entity. Certec has produced an update that resolves these vulnerabilities. Mr. Auriemma has verified that the update resolves the identified vulnerabilities."
ICSA-12-102-02,https://www.us-cert.gov/ics/advisories/ICSA-12-102-02,2012-04-12,2018-09-06,Koyo Ecom Modules Vulnerabilities,1,Koyo," This Advisory is a follow-up to the ICS-CERT Alert titled “ICS-ALERT-12-020-05A—Koyo Ecom100 Vulnerabilities” that was originally published January 20, 2012, on the ICS-CERT web page and updated on February 14, 2012.ICS-CERT is aware of a public report of vulnerabilities with proof-of-concept (PoC) exploit code affecting the Koyo ECOM100 Ethernet Module. This report is based on information presented by Reid Wightman during Digital Bond’s SCADA Security Scientific Symposium (S4) on January19, 2012. Vulnerability details were released without coordination with either the vendor or ICS-CERT.A brute force password cracking tool has also been released that targets the weak authentication vulnerability in the ECOM series modules. This tool may greatly reduce the time and skill level required to attack a vulnerable system.ICS-CERT has coordinated these vulnerabilities with Koyo, which has produced an updated firmware that resolves these vulnerabilities."
ICSA-12-102-03,https://www.us-cert.gov/ics/advisories/ICSA-12-102-03,2012-04-11,2018-09-06,MICROSYS PROMOTIC Use After Free Vulnerability,1,MICROSYS," This advisory is a follow-up to ICS-ALERT-11-333-01 - MICROSYS PROMOTIC Use-After-Free Vulnerability, released on the ICS-CERT Web site on November 28, 2011. Independent researcher Luigi Auriemma has identified and released proof of concept code (POC) for a use after free vulnerability in the MICROSYS, spol. s r.o. PROMOTIC application without coordination with ICS-CERT, the vendor, or any other known coordinating entity.ICS-CERT has coordinated this vulnerability with MICROSYS, which has produced an update that Mr. Auriemma confirms resolves this vulnerability."
ICSA-12-102-04,https://www.us-cert.gov/ics/advisories/ICSA-12-102-04,2012-04-11,2013-05-08,Siemens Scalance X Buffer Overflow Vulnerability,1,Siemens," ICS-CERT has received a report from Siemens regarding a buffer overflow vulnerability in the web interface of the Scalance X Industrial Ethernet switch. This vulnerability was reported to Siemens by Jürgen Bilberger from Daimler TSS GmbH. This vulnerability leaves the affected devices susceptible to a remote denial of service attack. Siemens has published a firmware update that addresses this vulnerability."
ICSA-12-102-05,https://www.us-cert.gov/ics/advisories/ICSA-12-102-05,2012-04-11,2013-05-08,Siemens Scalance S Multiple Security Vulnerabilities,1,Siemens," ICS-CERT has received a report from Siemens regarding two security vulnerabilities in the Scalance S Security Module firewall. This vulnerability was reported to Siemens by Adam Hahn and Manimaran Govindarasu for coordinated disclosure. The first issue is a brute-force credential guessing vulnerability in the web configuration interface of the firewall. The second issue is a stack-based buffer overflow vulnerability in the Profinet DCP protocol stack. Siemens has published a patch that resolves both of the identified vulnerabilities."
ICSA-12-122-01,https://www.us-cert.gov/ics/advisories/ICSA-12-122-01,2012-05-01,2013-04-18,WellinTech KingView DLL Hijack Vulnerability,1,WellinTech," Independent researcher Carlos Mario Peñagos Hollman identified a DLL Hijack vulnerability in WellinTech’s KingView application. WellinTech has created a patch that resolves the vulnerability. Mr. Hollman has tested the patch and verified that it resolves the vulnerability."
ICSA-12-129-01,https://www.us-cert.gov/ics/advisories/ICSA-12-129-01,2012-05-08,2018-09-06,WellinTech KingSCADA Insecure Password Encryption,1,WellinTech," This advisory is a follow-up to the alert titled “ICS-ALERT-12-020-06 - WellinTech KingSCADA Insecure Password Encryption Vulnerability” that was published January 20, 2012, on the ICS-CERT web page. Independent researchers Alexandr Polyakov and Alexey Sintsov from DSecRG identified an unsecure password encryption vulnerability in WellinTech KingSCADA application. When KingSCADA OPCServer and OPCClient are not on the same node, a remote attacker may obtain passwords to the system. DSecRG disclosed this vulnerability on its website without coordination with ICS-CERT, the vendor, or any other coordinating entity. An exploit is known to be publicly available. ICS-CERT has coordinated the mitigation of this vulnerability with WellinTech, which has produced a new version of KingSCADA that resolves the problem. ICS-CERT has not tested this version to verify that the vulnerability is resolved."
ICSA-12-131-01,https://www.us-cert.gov/ics/advisories/ICSA-12-131-01,2012-05-10,2013-05-01,Progea Movicon Memory Corruption Vulnerability,1,Progea," Security researcher Dillon Beresford of IXIA1 has identified a memory corruption vulnerability in the Progea Movicon application. This vulnerability can be exploited by a remote attacker; however, no public exploits are currently known to exist. ICS-CERT has coordinated these vulnerabilities with Progea, which has produced a new version (V11.3) that resolves the reported vulnerability. Mr. Beresford has tested the new version and confirms that it resolves the vulnerability."
ICSA-12-131-02,https://www.us-cert.gov/ics/advisories/ICSA-12-131-02,2012-06-27,2018-08-21,GE Intelligent Platforms Proficy HTML Help Vulnerabilities (Update A),1,GE,NULL
ICSA-12-137-02,https://www.us-cert.gov/ics/advisories/ICSA-12-137-02,2012-05-16,2018-09-06,Advantech Studio ISSymbol ActiveX Buffer Overflow,1,Advantech," This advisory is a follow-up to the original alert titled ICS-ALERT-11-131-01 - Advantech Studio ISSymbol ActiveX Buffer Overflow Vulnerabilities that was published May 11, 2011, on the ICS-CERT web page. A remote attacker could exploit these vulnerabilities; publicly available exploit code is known to exist that targets these vulnerabilities. Independent researcher Dmitriy Pletnev of Secunia has identified multiple buffer overflow vulnerabilities in the Advantech Studio product. Advantech has produced a new version that mitigates these vulnerabilities. Mr. Pletnev has tested the new version to validate that it resolves the vulnerabilities."
ICSA-12-138-01,https://www.us-cert.gov/ics/advisories/ICSA-12-138-01,2012-05-30,2013-04-30,Emerson DeltaV Multiple Vulnerabilities,1,Emerson," ICS-CERT originally released Advisory ICSA-12-138-01P to the US-CERT secure portal on May 17, 2012, and released Update A on May 21, 2012. This web page release (including Update A) was delayed to allow users time to download and install the update.Researcher Kuang-Chun Hung of the Security Research and Service Institute?Information and Communication Security Technology Center (ICST) has identified multiple vulnerabilities in the Emerson DeltaV application.These vulnerabilities can be exploited by a remote attacker; however, no publicly available exploits are currently known to exist. Emerson has produced a hotfix that mitigates these vulnerabilities. ICST has tested this hotfix and confirms that it fully resolves the vulnerabilities."
ICSA-12-145-01,https://www.us-cert.gov/ics/advisories/ICSA-12-145-01,2012-05-24,2013-05-01,Measuresoft ScadaPro DLL Hijack,1,Measuresoft," Independent researcher Carlos Mario Penagos Hollmann identified a remotely exploitable, uncontrolled search path element vulnerability, commonly referred to as a DLL hijack, in Measuresoft’s ScadaPro application. Measuresoft has produced an upgrade to address this vulnerability. Mr. Hollmann has verified that the new version resolves the vulnerability."
ICSA-12-145-02,https://www.us-cert.gov/ics/advisories/ICSA-12-145-02,2012-05-24,2018-09-06,xArrow Multiple Vulnerabilities,1,xArrow," This advisory is a follow-up to ICS-ALERT-12-065-01 xArrow Vulnerabilities that was published March 05, 2012. Independent security researcher Luigi Auriemma identified and released four security vulnerabilities, along with proof-of-concept code, in the xArrow software application without coordination with ICS-CERT, the vendor, or any other coordinating entity. The following remotely exploitable vulnerabilities were identified: NULL Pointer Dereference,Heap-Based Buffer Overflow,Out-of-Bounds read, andImproper Restriction of Operations within the Bounds of a Memory Buffer. xArrow has produced a new version that resolves the reported vulnerabilities. Luigi Auriemma has tested the new version and confirmed that the vulnerabilities have been resolved."
ICSA-12-146-01A,https://www.us-cert.gov/ics/advisories/ICSA-12-146-01A,2012-06-18,2018-09-06,RuggedCom Weak Cryptography for Password Vulnerability (Update A),1,RuggedCom,
ICSA-12-150-01,https://www.us-cert.gov/ics/advisories/ICSA-12-150-01,2012-09-07,2018-09-06,Honeywell HMIWeb Browser Buffer Overflow Vulnerability,1,Honeywell," This advisory was originally posted on the the US-CERT secure portal library (titled ICSA-12-150-01P Honeywell HMIWeb Browser Buffer Overflow Vulnerability) to allow customers time to download the vendor patch prior to full public disclosure. ICS-CERT received a report from Honeywell and the Zero Day Initiative (ZDI),a concerning a buffer overflow vulnerability in all products using the Honeywell HMIWeb browser. This vulnerability was reported to ZDI by an anonymous researcher. Honeywell has created specific patches, based on the product version, that address this issue. These patches have not been independently validated. This vulnerability could be exploited remotely."
ICSA-12-158-01,https://www.us-cert.gov/ics/advisories/ICSA-12-158-01,2012-06-06,2014-01-30,Siemens WinCC Multiple Vulnerabilities,1,Siemens," Independent researchers Gleb Gritsai, Alexander Zaitsev, Sergey Scherbel, Yuri Goltsev, Dmitry Serebryannikov, Sergey Bobrov, Denis Baranov, Andrey Medov from Positive Technologies have identified multiple vulnerabilities in the Siemens WinCC application. In evaluating these reported vulnerabilities, Siemens identified an additional vulnerability that is included in this advisory. Siemens has produced an update that resolves all vulnerabilities except the buffer overflow in DiagAgent. DiagAgent is no longer supported, and this vulnerability can be mitigated by disabling the service. ICS-CERT has not tested this update. These vulnerabilities may be remotely exploited."
ICSA-12-167-01,https://www.us-cert.gov/ics/advisories/ICSA-12-167-01,2012-06-15,2018-09-06,Innominate MGuard Weak HTTPS and SSH Keys,1,Innominate," An independent research group comprised of Nadia Heninger, Zakir Durumeric, Eric Wustrow, and J. Alex Halderman identified an insufficient entropy vulnerability in Innominate’s mGuard network appliance product line. By impersonating the device, an attacker can obtain the credentials of administrative users and potentially perform a Man-in-the-Middle (MitM) attack. Innominate has validated the vulnerability and produced an update that resolves the reported vulnerability. This vulnerability can be remotely exploited.ICS-CERT has coordinated this vulnerability with Innominate, which has produced an update that resolves this vulnerability."
ICSA-12-171-01,https://www.us-cert.gov/ics/advisories/ICSA-12-171-01,2012-06-19,2018-09-06,Wonderware SuiteLink Unallocated Unicode String Vulnerability,1,Invensys," This Advisory is a follow-up to the original ICS-CERT Alert titled ICS-ALERT-12-136-01 Wonderware SuiteLink Unallocated Unicode String that was published May 15, 2012 on the ICS-CERT web page.Independent researcher Luigi Auriemma identified a maliciously crafted Unicode string vulnerability causing a stack-based buffer overflow with proof-of-concept (PoC) exploit code that affects the Invensys Wonderware SuiteLink service (slssvc.exe). This vulnerability was released without coordinating with ICS-CERT or the vendor. This vulnerability can be exploited remotely, and public exploits are known to target this vulnerability. Wonderware SuiteLink is part of the System Platform software suite.ICS-CERT has coordinated this vulnerability with Invensys. Invensys has confirmed the vulnerability exists for Wonderware products built prior to 2011. Invensys has produced a patch that resolves this vulnerability. This patch validation was confirmed by Luigi Auriemma."
ICSA-12-177-02,https://www.us-cert.gov/ics/advisories/ICSA-12-177-02,2012-07-13,2013-05-01,Invensys Wonderware InTouch 10 DLL Hijack,1,Invensys," ICS-CERT originally released Advisory ICSA-12-177-01P on the US-CERT Portal on July 05, 2012. This web page release was delayed to provide the vendor time to contact customers concerning this information.Independent researcher Carlos Mario Penagos Hollmann has identified an uncontrolled search path element vulnerability, commonly referred to as a dll hijack, in Invensys’s Wonderware InTouch application. Successfully exploiting this vulnerability could lead to arbitrary code execution.ICS-CERT has coordinated the report with Invensys, which has produced an upgrade to address this vulnerability. Mr. Hollmann has validated that the upgrade resolves the reported vulnerability."
